name,type,parent_module,full_path,links_out,links_in,lines
detect_simd_features,function,cpu_features.py,app\cpu_features.py,5,4,41
cpuid_leaf,function,cpu_features.py,app\cpu_features.py,1,3,6
_flags_from_cpuid,function,cpu_features.py,app\cpu_features.py,3,2,19
recommended_llama_cpp_version,function,cpu_features.py,app\cpu_features.py,1,3,6
llama_cpp_install_command,function,cpu_features.py,app\cpu_features.py,1,2,11
_is_x86,function,cpu_features.py,app\cpu_features.py,0,2,4
_cpuid_leaf_windows,function,cpu_features.py,app\cpu_features.py,0,0,40
_flags_from_windows_kernel,function,cpu_features.py,app\cpu_features.py,0,1,14
_flags_from_proc_cpuinfo,function,cpu_features.py,app\cpu_features.py,0,1,14
download_gemma4_model.py,module,,app\download_gemma4_model.py,2,0,56
main,function,download_gemma4_model.py,app\download_gemma4_model.py,3,0,56
_,function,download_gemma4_model.py,app\download_gemma4_model.py,0,0,0
gemma4_field_matcher.py,module,,app\gemma4_field_matcher.py,1,1,1195
_llama_cpp_install_cmd,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,4,3
_,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,4,0,0
_illegal_instruction_hint,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,16
_warn_llama_cpp_version_mismatch,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,2,1,12
_format_model_load_error,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,4,1,32
_probe_llama_cpp,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,6,1,42
get_available_memory_gb,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,13
_check_download_dependencies,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,15
ensure_model_downloaded,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,10,1,995
_resolve_model_dir,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,17
SourceColumnData,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,0,5
FieldMappingResult,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,0,5
TransformationRule,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,0,8
ModelDownloadError,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,3,2
ModelLoadError,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,2
InsufficientMemoryError,class,gemma4_field_matcher.py,app\gemma4_field_matcher.py,1,1,2
get_last_load_error,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,0,0,3
_pip_install_hint,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,0,4,5
_root_exception,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,0,1,6
find_model_file,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,0,4,7
clear_matcher_cache,function,gemma4_field_matcher.py,app\gemma4_field_matcher.py,0,0,5
__init__.py,module,,app\__init__.py,3,0,0
_,function,__init__.py,app\__init__.py,0,0,0
Exception,external,,,0,4,0
TypedDict,external,,,0,3,0
